title_year,aspect_ratio,duration.1,budget,imdb_score,cast_total_facebook_likes,worldwide_gross,production_budget
2009.0,1.78,178.0,237000000.0,7.9,4834.0,2783918982.0,425000000.0
2007.0,2.35,169.0,300000000.0,7.1,48350.0,963420425.0,300000000.0
2015.0,2.35,148.0,245000000.0,6.8,11700.0,879620923.0,300000000.0
2012.0,2.35,164.0,250000000.0,8.5,106759.0,1084439099.0,275000000.0
591165593.775,591165593.775,591165593.775,591165593.775,7.1,143.0,2058662225.0,306000000.0
2012.0,2.35,132.0,263700000.0,6.6,1873.0,282778100.0,275000000.0
2007.0,2.35,156.0,258000000.0,6.2,46055.0,890875303.0,258000000.0
2007.0,2.35,156.0,258000000.0,6.2,46055.0,890875303.0,258000000.0
2010.0,1.85,100.0,260000000.0,7.8,2036.0,586581936.0,260000000.0
2015.0,2.35,141.0,250000000.0,7.5,92000.0,1404705868.0,250000000.0
2009.0,2.35,153.0,250000000.0,7.5,58753.0,935083686.0,250000000.0
2016.0,2.35,183.0,250000000.0,6.9,24450.0,868160194.0,250000000.0
2006.0,2.35,169.0,209000000.0,6.1,29991.0,374085065.0,232000000.0
2008.0,2.35,106.0,200000000.0,6.7,2023.0,591692078.0,230000000.0
2006.0,2.35,151.0,225000000.0,7.3,48486.0,1066215812.0,225000000.0
2013.0,2.35,150.0,215000000.0,6.5,45757.0,260002115.0,275000000.0
2013.0,2.35,143.0,225000000.0,7.2,20495.0,667999518.0,225000000.0
2008.0,2.35,150.0,225000000.0,6.6,22697.0,417341288.0,225000000.0
2011.0,2.35,136.0,250000000.0,6.7,54083.0,1045663875.0,250000000.0
2014.0,2.35,164.0,250000000.0,7.5,9152.0,955119788.0,250000000.0
2012.0,2.35,153.0,230000000.0,7.0,28489.0,757890267.0,220000000.0
2010.0,2.35,156.0,200000000.0,6.7,3244.0,322241588.0,210000000.0
2013.0,2.35,186.0,225000000.0,7.9,9152.0,960366855.0,250000000.0
1997.0,2.35,194.0,200000000.0,7.7,45223.0,2207615668.0,200000000.0
2016.0,2.35,147.0,250000000.0,8.2,64798.0,1150864745.0,250000000.0
2012.0,2.35,131.0,209000000.0,5.9,26679.0,305218228.0,209000000.0
